Disease,Symptoms,Type
Hypothermia,"slurred speech, shivering, slow breathing",Critical
Asthma,"wheezing, fatigue, coughing, shortness of breath",Serious
Diabetic Neuropathy,weakness,Serious
Boils (Furuncles),painful pus-filled bumps,Normal
PTSD,"anxiety, flashbacks",Serious
Bladder Infection,"pelvic pressure, frequent urination",Normal
Hyperopia,difficulty seeing close objects,Normal
Meningitis,sensitivity to light,Critical
Sunburn,"pain, red skin, blistering, peeling",Normal
Brucellosis,"fever, joint pain, fatigue",Serious
Fifth Disease,"fever, bright red rash on cheeks",Normal
Varicose Veins,heaviness,Normal
Tendinitis,"pain at tendon site, swelling",Normal
Food Poisoning,"vomiting, stomach cramps, nausea, diarrhea, dehydration",Normal
Keratosis Pilaris,small rough bumps on arms/thighs,Normal
Anaphylaxis,"difficulty breathing, hives",Critical
Toxoplasmosis,"fatigue, swollen nodes, body aches",Serious
Tendonitis,"stiffness, pain, swelling",Normal
Carbuncles,cluster of boils,Serious
Paget's Disease of Bone,"bone pain, fractures",Serious
Tooth Decay,"black spots, toothache",Normal
Body Odor,unpleasant smell from sweat,Normal
Genu Valgum (Knock Knees),knees touch while ankles apart,Normal
Irritable Bowel Syndrome,"diarrhea, constipation, abdominal pain, bloating",Normal
Hyperglycemia,"headache, thirst",Serious
Klinefelter Syndrome,"small testes, tall stature",Serious
Measles,"fever, cough, runny nose, rash",Normal
Ovarian Cysts,"bloating, irregular periods, pelvic pain",Serious
Herpes Simplex Type 2,"itching, genital sores",Serious
Tay-Sachs Disease,"vision loss, loss of motor skills, seizures",Critical
PCOS,"irregular periods, weight gain, acne, hair growth",Normal
Legionnaires' Disease,"fever, cough, muscle aches",Serious
Perioral Dermatitis,small red bumps around mouth,Normal
Q Fever,"fever, severe headache",Serious
River Blindness,"skin bumps, severe itching, vision loss",Serious
Schistosomiasis,"abdominal pain, blood in urine/stool",Serious
Angioedema,deep swelling under skin,Serious
Metabolic Syndrome,"fatigue, weight gain, high blood pressure",Serious
Takayasu's Arteritis,"weak pulse, dizziness, chest pain",Serious
Roseola,high fever followed by rosy rash,Normal
Hiatal Hernia,"difficulty swallowing, heartburn",Serious
Mono (Mononucleosis),"swollen lymph nodes, fatigue, sore throat",Normal
Corns,hard thickened skin on toes,Normal
Acne,"inflammation, oily skin, blackheads, pimples",Normal
Encephalitis,"seizures, headache, fever, confusion",Critical
Erectile Dysfunction,"difficulty maintaining erection, low libido",Normal
Wegener's Granulomatosis,"kidney issues, cough, sinus pain",Serious
Arthritis,"stiffness, joint pain, reduced movement, swelling",Normal
Mono (Mononucleosis),"fatigue, swollen lymph nodes",Normal
Tinea Corporis,body ringworm,Normal
Cardiomyopathy,"swelling, shortness of breath, fatigue",Serious
Plantar Fasciitis,"stiffness in morning, heel pain",Normal
Erythema Nodosum,painful red lumps on shins,Serious
Atherosclerosis,"fatigue, numbness, leg pain, chest pain",Serious
Iron Deficiency Anemia,"tiredness, shortness of breath",Normal
Social Anxiety,"sweating, trembling, fear of judgment",Normal
Cherry Angioma,small bright red skin bumps,Normal
Leprosy,skin lesions,Serious
Psoriasis,"scaly skin, plaques, redness",Normal
Pleural Effusion,"chest pain, fatigue, shortness of breath",Serious
Encephalitis,"seizures, headache, fever, confusion",Critical
Anemia,"pale skin, fatigue, shortness of breath",Normal
Endocarditis,"heart murmur, fever, chills",Serious
Dermatographism,raised marks after scratching skin,Normal
Lung Cancer,"persistent cough, weight loss, fatigue",Critical
Fixed Drug Eruption,recurring rash in same spot,Normal
Dengue Fever,"joint pain, high fever, rash, severe headache",Serious
Migraine,"nausea, light sensitivity, vomiting, severe headache",Normal
Specific Phobia,intense fear of objects/situations,Normal
Heartburn,burning chest pain,Normal
Pediculosis (Lice),"nits in hair, itching",Normal
Gas Gangrene,"swelling, severe pain, gas in tissue",Critical
Avian Flu,"sore throat, fever, cough",Critical
Patau Syndrome,physical abnormalities,Critical
Ulcerative Colitis,"bloody diarrhea, weight loss, fatigue",Serious
Pinworms,"restless sleep, itching around anus",Normal
Onychomycosis,"thickened, yellowed nails",Normal
H1N1 Flu,"cough, body ache, fever, sore throat",Serious
Depression,"fatigue, sadness, sleep problems, loss of interest",Serious
Encephalitis,"fever, confusion, headache, seizures",Critical
Pellagra,"dermatitis, dementia, diarrhea",Serious
Goodpasture Syndrome,"coughing blood, blood in urine",Critical
Peptic Ulcer,"weight loss, nausea, bloating",Serious
Type 2 Diabetes,"blurred vision, slow healing, fatigue",Serious
Erythema Multiforme,target-like skin lesions,Normal
Yaws,"skin sores, joint pain, bone pain",Serious
PCOS,"irregular periods, hair growth, acne",Normal
COPD,"wheezing, mucus, fatigue, breathlessness, chronic cough",Serious
Pancreatitis,nausea,Serious
Herpes Simplex Type 1,cold sores around mouth,Normal
Campylobacteriosis,"fever, diarrhea",Normal
Fleabites,small itchy red bumps on ankles,Normal
Boils,"swelling, redness, painful lumps",Normal
Bipolar Disorder,"mania, depression, mood swings",Serious
Asthma,"shortness of breath, fatigue, coughing, chest tightness, wheezing",Serious
Klinefelter Syndrome,small testes,Serious
Plantar Fasciitis,"heel pain, stiffness in morning",Normal
Lymphedema,swelling in arms or legs,Serious
Glaucoma,eye pain,Serious
Pyoderma Gangrenosum,large painful skin ulcers,Critical
Varicose Veins,"swollen veins, heaviness, itching, leg pain",Normal
Heat Stroke,"confusion, rapid pulse, high body temp",Critical
Hemangioma,bright red birthmark,Normal
Spina Bifida,visible gap in spine,Serious
Obesity,"joint pain, fatigue, weight gain, breathlessness",Normal
Tetanus,"muscle stiffness, jaw locking",Critical
Scurvy,"bruising, weakness, bleeding gums",Serious
Pediculosis (Lice),itching,Normal
Boils,"redness, painful lumps, swelling",Normal
Synovitis,"pain, joint swelling",Normal
Restless Legs Syndrome,urge to move legs,Normal
Myasthenia Gravis,"double vision, drooping eyelids",Serious
Erysipelas,"raised red skin rash, fever",Serious
Glanders,"fever, chest pain",Serious
Bed Bug Bites,itchy red bumps in a line,Normal
Smallpox,fever,Critical
Acanthosis Nigricans,dark velvety skin in folds,Normal
Parkinson's Disease,stiffness,Critical
Glaucoma,"eye pain, blurred vision, halo lights",Serious
Bad Breath (Halitosis),persistent mouth odor,Normal
Corns and Calluses,thickened skin areas,Normal
Albinism,lack of pigment in skin/hair/eyes,Normal
Uterine Fibroids,"bloating, pelvic pain",Serious
Spider Veins,small web-like veins on skin,Normal
Contact Dermatitis,itchy rash from substance contact,Normal
Bladder Cancer,"frequent urination, pelvic pain, blood in urine",Critical
Cardiomyopathy,"dizziness, shortness of breath, fatigue, swelling",Serious
Listeriosis,"stiff neck, fever, muscle aches",Serious
Hepatitis B,"abdominal pain, dark urine, yellow eyes",Serious
Poison Ivy Rash,"redness, itching, blisters from plant",Normal
Tonsil Stones,sore throat,Normal
Albinism,lack of pigment in skin/hair/eyes,Normal
Cholera,"severe diarrhea, vomiting, weakness, dehydration",Serious
Bursitis,"joint pain, swelling, redness",Normal
IBS,constipation,Normal
Angina,"pressure, shortness of breath, chest pain",Serious
Plague (Pneumonic),"fever, cough, bloody sputum",Critical
Androgenetic Alopecia,male/female pattern baldness,Normal
Osteomyelitis,fever,Serious
Avascular Necrosis,"limited range of motion, joint pain",Serious
Thalassemia,"fatigue, weakness, pale skin, dark urine",Serious
Restless Legs Syndrome,"crawling sensation, urge to move legs",Normal
Heartburn,"sour taste, burning chest pain",Normal
Pleural Effusion,"shortness of breath, cough, chest pain, fatigue",Serious
Tick Bite,"red spot, potential bullseye",Normal
Narcissistic Personality,"need for admiration, lack of empathy",Serious
Kyphosis,rounded upper back (hunchback),Normal
Crohn's Disease,"fatigue, abdominal pain, diarrhea",Serious
Personality Disorder,"emotional instability, behavior issues",Serious
Narcolepsy,"excessive daytime sleepiness, sudden muscle weakness",Serious
Alopecia Areata,patchy hair loss,Normal
Tinea Capitis,scalp ringworm,Normal
Buruli Ulcer,large painless skin ulcer,Serious
Substance Abuse Disorder,"behavior changes, addiction, withdrawal",Serious
Kyphosis,rounded upper back (hunchback),Normal
Dyslexia,"difficulty reading, spelling issues",Normal
Hyperopia,difficulty seeing close objects,Normal
Cataracts,"difficulty seeing at night, cloudy vision",Normal
Goodpasture Syndrome,"coughing blood, blood in urine",Critical
Stevens-Johnson Syndrome,flu symptoms and severe rash,Critical
Blister,fluid-filled pocket on skin,Normal
Sepsis,"shivering, high heart rate, fever, confusion",Critical
Sinusitis,"pressure, headache, facial pain, nasal congestion, runny nose",Normal
Epilepsy,"staring spells, confusion, seizures",Serious
Lung Cancer,chest pain,Critical
Chlamydia,"pelvic pain, discharge, painful urination",Serious
Arthritis,"stiffness, joint pain, swelling",Normal
Aphasia,difficulty speaking or understanding,Serious
Hyperglycemia,"thirst, high blood sugar, headache",Serious
Septic Arthritis,"swelling, fever",Critical
Specific Phobia,intense fear of objects/situations,Normal
Corns,hard thickened skin on toes,Normal
Muscle Cramp,sudden painful muscle contraction,Normal
Erythema Nodosum,painful red lumps on shins,Serious
Leptospirosis,"high fever, jaundice, headache",Serious
Hypertension,"chest pain, dizziness, headache",Serious
Plague (Bubonic),swollen lymph nodes (buboes),Critical
Spider Bite,"swelling, two puncture marks, pain",Normal
Swine Flu,"sore throat, fever, cough, body aches",Serious
Obesity,"fatigue, breathlessness, joint pain, weight gain",Normal
Chapped Lips,cracked,Normal
Giant Cell Arteritis,"headache, vision issues",Serious
Thyroid Cancer,"hoarseness, neck lump, weight loss, fatigue",Critical
Uterine Fibroids,"pelvic pain, heavy periods, bloating",Serious
Scurvy,weakness,Serious
Diabetes,"fatigue, blurred vision, frequent urination, increased thirst",Serious
Peripheral Artery Disease,leg pain,Serious
Clubfoot,foot twisted out of shape at birth,Normal
Dandruff,white flakes,Normal
Synovitis,"stiffness, joint swelling, pain",Normal
Folliculitis,small red bumps at hair follicles,Normal
Gas and Bloating,"abdominal pressure, flatulence",Normal
Pinworms,restless sleep,Normal
Relapsing Fever,"muscle pain, headache, recurring fever",Serious
Hemangioma,bright red birthmark,Normal
Common Warts,rough skin growths,Normal
Hirsutism,excessive hair growth in women,Normal
Arrhythmia,"fatigue, dizziness, palpitations",Serious
"Hand, Foot, and Mouth Disease","rash on hands/feet, sores in mouth",Normal
Diphtheria,"fever, thick gray coating in throat",Critical
Plague (Bubonic),swollen lymph nodes (buboes),Critical
Rat-bite Fever,"rash, fever",Serious
Balanitis,"redness of the penis tip, swelling",Normal
Pleural Effusion,"shortness of breath, fatigue, cough, chest pain",Serious
Rabies,"fever, confusion, hydrophobia, anxiety",Critical
Dandruff,"itchy scalp, white flakes",Normal
Pseudofolliculitis Barbae,razor bumps from ingrown hairs,Normal
Plantar Fasciitis,"heel pain, stiffness in morning",Normal
Irritable Bowel Syndrome,"constipation, bloating, diarrhea",Normal
Pediculosis (Lice),"nits in hair, itching",Normal
Telogen Effluvium,temporary hair thinning,Normal
Trachoma,"eyelid scarring, blindness, eye itching",Serious
Reiter's Syndrome,"eye inflammation, joint pain",Serious
Generalized Anxiety,"constant worry, fatigue",Normal
Hydrocele,swelling in the scrotum,Normal
Eating Disorder,"food restriction, weakness, weight changes",Serious
Antisocial Personality,"disregard for rules, impulsivity",Serious
Pyoderma Gangrenosum,large painful skin ulcers,Critical
PMS,"bloating, mood swings, breast tenderness",Normal
Tay-Sachs Disease,loss of motor skills,Critical
Pericarditis,"chest pain, palpitations, weakness, fever",Serious
Graves' Disease,"bulging eyes, anxiety, hand tremors, weight loss",Serious
Athlete's Foot,"scaling, itching, redness on feet",Normal
Myopia,difficulty seeing far objects,Normal
Arthritis,"joint pain, stiffness, swelling, reduced movement",Normal
Anxiety Disorder,"rapid heartbeat, restlessness, sweating, nervousness",Normal
Shin Splints,pain along the shin bone,Normal
Avascular Necrosis,"joint pain, limited range of motion",Serious
Gouty Arthritis,"sudden intense joint pain, redness",Serious
Eating Disorder,"food restriction, weight changes, weakness",Serious
Fatty Liver Disease,pain in upper right abdomen,Serious
Paget's Disease of Bone,"fractures, hearing loss, bone pain",Serious
Spondylolisthesis,"stiffness, lower back pain",Serious
Asthma,"wheezing, coughing, fatigue, shortness of breath",Serious
Bell's Palsy,"facial weakness, drooping",Normal
Corns and Calluses,thickened skin areas,Normal
Dysgraphia,"poor handwriting, difficulty writing",Normal
Cerebral Palsy,"stiffness, poor coordination, movement issues",Serious
Typhoid Fever,"headache, stomach pain, high fever",Serious
OCD,compulsions,Normal
Panic Disorder,"sudden fear, chest pain, sweating",Normal
Skin Tags,small flesh-colored growths,Normal
Cerebral Palsy,"movement issues, stiffness, poor coordination",Serious
Agoraphobia,fear of places where escape is hard,Serious
Urinary Tract Infection,"cloudy urine, urgency",Normal
Varicocele,swollen veins in the scrotum,Normal
Perioral Dermatitis,small red bumps around mouth,Normal
Tooth Decay,"sensitivity, black spots",Normal
Shin Splints,pain along the shin bone,Normal
Fibromyalgia,"sleep problems, fatigue, muscle pain",Normal
Hiatal Hernia,"chest pain, difficulty swallowing, heartburn",Serious
Appendicitis,lower abdominal pain,Serious
COVID-19,"headache, shortness of breath, fever, fatigue, loss of taste, cough",Serious
Spinal Stenosis,back pain,Serious
Dracunculiasis (Guinea Worm),painful blister,Serious
Huntington's Disease,"mood swings, cognitive decline, involuntary movements",Critical
Lice,"visible bugs, itching on scalp",Normal
Frozen Shoulder,"shoulder pain, stiffness",Normal
Patau Syndrome,"brain defects, physical abnormalities",Critical
Fifth Disease,"bright red rash on cheeks, fever",Normal
Plague (Septicemic),"bleeding, chills, fever",Critical
Muscle Strain,"weakness, pain, swelling, stiffness",Normal
Goiter,"hoarseness, difficulty swallowing",Normal
Rocky Mountain Spotted Fever,fever,Serious
Diabetes,"fatigue, blurred vision, increased thirst, frequent urination",Serious
Heart Failure,"cough, fatigue, shortness of breath, swelling",Critical
Venous Ulcers,open sores on lower legs,Serious
Chapped Lips,"dry, peeling lips, cracked",Normal
Bladder Infection,"pelvic pressure, frequent urination",Normal
Lipoma,soft fatty lump under skin,Normal
Common Cold,"congestion, sore throat, runny nose, mild fever, sneezing, watery eyes",Normal
Sepsis,"high heart rate, shivering, confusion, fever",Critical
Corns and Calluses,thickened skin areas,Normal
Lichen Planus,purple flat bumps,Normal
"Hand, Foot, and Mouth Disease",rash on hands/feet,Normal
Shigellosis,"fever, bloody diarrhea",Serious
Infectious Mononucleosis,"swollen nodes, fatigue, sore throat",Normal
Milium,tiny white bumps on face,Normal
Giant Cell Arteritis,"vision issues, jaw pain, headache",Serious
Endocarditis,"heart murmur, fever, fatigue",Serious
Chronic Fatigue Syndrome,"muscle pain, memory issues",Serious
Granuloma Annulare,reddish bumps in a ring,Normal
Chlamydia,"pelvic pain, painful urination",Serious
Generalized Anxiety,"restlessness, fatigue, constant worry",Normal
Arrhythmia,dizziness,Serious
Narcissistic Personality,"need for admiration, lack of empathy",Serious
Bed Bug Bites,itchy red bumps in a line,Normal
Heartburn,"sour taste, burning chest pain",Normal
Hydatid Disease,"pain, cysts in liver or lungs",Serious
Crohn's Disease,"weight loss, diarrhea, fatigue, abdominal pain",Serious
Brucellosis,"joint pain, fatigue",Serious
Impetigo,"itching, red sores",Normal
Arrhythmia,"fatigue, dizziness, irregular heartbeat, palpitations",Serious
Scoliosis,"uneven shoulders, curved spine",Serious
Hemorrhoids,"itching, rectal pain, bleeding",Normal
Addison's Disease,"extreme fatigue, weight loss",Serious
Androgenetic Alopecia,male/female pattern baldness,Normal
Agoraphobia,fear of places where escape is hard,Serious
Milium,tiny white bumps on face,Normal
Cellulitis,"pain, redness, swelling",Serious
Hypertension,"blurred vision, dizziness, chest pain",Serious
Toxic Shock Syndrome,"rash, low blood pressure, high fever",Critical
Milium,tiny white bumps on face,Normal
Dermatitis,"itching, rash, swelling",Normal
Takayasu's Arteritis,"dizziness, chest pain, weak pulse",Serious
Social Anxiety,"fear of judgment, sweating, trembling",Normal
Phenylketonuria,"seizures, musty breath, skin rash, tremors",Serious
Acne Vulgaris,"blackheads, oily skin, pimples",Normal
Osteoporosis,"bone weakness, back pain, fractures",Serious
Pitted Keratolysis,small pits on soles of feet,Normal
Schistosomiasis,"abdominal pain, blood in urine/stool",Serious
Trachoma,"eyelid scarring, blindness, eye itching",Serious
Cherry Angioma,small bright red skin bumps,Normal
Milium,tiny white bumps on face,Normal
Polyarteritis Nodosa,"skin sores, fever, joint pain",Serious
Ovarian Cancer,"pelvic pain, frequent urination, bloating",Critical
Tinea Corporis,body ringworm,Normal
Plague,"cough, fever",Critical
Hirsutism,excessive hair growth in women,Normal
Back Pain,"muscle ache, stiffness, lower back pain",Normal
Coronary Artery Disease,chest pain,Serious
Corneal Abrasion,redness,Serious
Plague (Pneumonic),"bloody sputum, fever, cough",Critical
ALS,difficulty speaking,Critical
Bad Breath (Halitosis),persistent mouth odor,Normal
Trachoma,"eye itching, blindness, eyelid scarring",Serious
Anthrax (Cutaneous),skin sore with black center,Serious
Rocky Mountain Spotted Fever,"headache, spotted rash, fever",Serious
Plague (Bubonic),swollen lymph nodes (buboes),Critical
Campylobacteriosis,"diarrhea, abdominal cramps, fever",Normal
Dyshidrotic Eczema,small blisters on hands/feet,Normal
Molluscum Contagiosum,small firm bumps with dimples,Normal
Diphtheria,"fever, thick gray coating in throat",Critical
Balanitis,"swelling, redness of the penis tip",Normal
Agoraphobia,fear of places where escape is hard,Serious
Balanitis,"redness of the penis tip, swelling",Normal
Ankylosing Spondylitis,"back pain, stiffness in morning",Serious
Esophageal Cancer,"weight loss, chest pain, difficulty swallowing",Critical
Liver Cirrhosis,"fluid buildup, jaundice, fatigue",Critical
Guillain-Barre Syndrome,"paralysis, weakness",Critical
Corneal Abrasion,"redness, eye pain",Serious
Urticaria (Hives),raised itchy welts,Normal
Hepatitis A,dark urine,Serious
Mumps,"headache, muscle pain, swollen glands, fever",Normal
Plague,swollen lymph nodes,Critical
ADHD,"inattention, hyperactivity",Normal
Hashimoto's Thyroiditis,"cold intolerance, dry skin, fatigue, weight gain",Serious
Eczema,"redness, dry skin, rash",Normal
Drug Eruption,rash after taking medication,Serious
Diabetic Retinopathy,"vision loss, blurred vision, eye pain",Serious
Kyphosis,rounded upper back (hunchback),Normal
Erythema Nodosum,painful red lumps on shins,Serious
Ankylosing Spondylitis,"stiffness in morning, back pain",Serious
Ear Infection,"drainage, hearing loss, ear pain",Normal
Herpes Simplex Type 2,"itching, genital sores",Serious
Glanders,"fever, chest pain",Serious
Legionnaires' Disease,"fever, muscle aches, cough",Serious
Cellulitis,"fever, swelling, pain, redness",Serious
Whooping Cough,"severe coughing, vomiting",Serious
Diabetic Ulcers,painless sores on feet,Serious
Peptic Ulcer,weight loss,Serious
Rosacea,"visible blood vessels, bumps, facial redness",Normal
Amnesia,"memory loss, confusion",Serious
Diabetic Neuropathy,"tingling, numbness, weakness, pain",Serious
Tinea Pedis,athlete's foot,Normal
Muscle Cramp,sudden painful muscle contraction,Normal
Dyslexia,"difficulty reading, spelling issues",Normal
Trigger Finger,finger stuck in bent position,Normal
Stasis Dermatitis,skin changes from poor circulation,Normal
Common Wart,"rough skin growths, black dots",Normal
Psittacosis,"fever, headache",Serious
Phenylketonuria,"skin rash, musty breath, tremors, seizures",Serious
Aphasia,difficulty speaking or understanding,Serious
Stasis Dermatitis,skin changes from poor circulation,Normal
Periodontitis,"bad breath, receding gums, loose teeth",Serious
Dermatographism,raised marks after scratching skin,Normal
Erythema Infectiosum,slapped cheek rash,Normal
Pellagra,"diarrhea, dementia, dermatitis",Serious
Polio,"muscle weakness, paralysis",Critical
Tay-Sachs Disease,"loss of motor skills, seizures, vision loss",Critical
Varicose Veins,"heaviness, itching, leg pain",Normal
Dracunculiasis (Guinea Worm),"worm emergence, painful blister",Serious
Myopathy,"fatigue, muscle weakness, pain",Serious
Agoraphobia,fear of places where escape is hard,Serious
Cirrhosis,"fatigue, swelling, jaundice, confusion, weight loss",Critical
Lymphedema,swelling in arms or legs,Serious
Tay-Sachs Disease,"vision loss, seizures",Critical
Reiter's Syndrome,"eye inflammation, urethritis, joint pain",Serious
Pseudofolliculitis Barbae,razor bumps from ingrown hairs,Normal
Boils (Furuncles),painful pus-filled bumps,Normal
Spinal Stenosis,"back pain, leg numbness while walking",Serious
Common Warts,rough skin growths,Normal
Cytomegalovirus Infection,"fatigue, fever",Serious
Hepatitis,"abdominal pain, dark urine, nausea, jaundice",Serious
Substance Abuse Disorder,"withdrawal, addiction",Serious
Melasma,brown patches on face,Normal
Plantar Warts,hard growths on soles,Normal
Ringworm,"circular rash, redness",Normal
Tinea Corporis,body ringworm,Normal
Jock Itch,"itching, redness in groin area",Normal
Myopathy,"fatigue, pain",Serious
Paget's Disease of Bone,"fractures, bone pain",Serious
Raynaud's Disease,"color change to white/blue, cold fingers",Normal
Gallbladder Attack,"nausea, severe upper right pain",Serious
Dracunculiasis (Guinea Worm),"worm emergence, painful blister",Serious
Klinefelter Syndrome,"tall stature, small testes",Serious
Vibriosis,"watery diarrhea, abdominal cramps",Normal
Graves' Disease,"bulging eyes, weight loss, hand tremors, anxiety",Serious
Bell's Palsy,"difficulty speaking, drooping",Normal
Ankylosing Spondylitis,"stiffness in morning, back pain",Serious
Impetigo,"red sores, blisters",Normal
Eczema,"rash, redness, dry skin, itching",Normal
Pinworms,"restless sleep, itching around anus",Normal
Lichen Sclerosus,white thin skin in genital area,Normal
Infectious Mononucleosis,"sore throat, fatigue",Normal
Tinea Versicolor,discolored skin patches,Normal
Corns,hard thickened skin on toes,Normal
Wegener's Granulomatosis,"cough, sinus pain, kidney issues",Serious
Heart Failure,"fatigue, swelling, shortness of breath, cough",Critical
Blister,fluid-filled pocket on skin,Normal
Toxoplasmosis,"body aches, fatigue",Serious
Lichen Planus,"purple flat bumps, itching",Normal
Erysipelas,"fever, raised red skin rash",Serious
Reye's Syndrome,"confusion, vomiting",Critical
Type 1 Diabetes,"frequent urination, excessive thirst, weight loss",Serious
Myopathy,"fatigue, muscle weakness",Serious
Hyperglycemia,"thirst, high blood sugar, headache",Serious
Dyscalculia,difficulty with numbers/math,Normal
Erythema Infectiosum,slapped cheek rash,Normal
Polio,"muscle weakness, fever, paralysis",Critical
Rotator Cuff Tear,"pain lifting arm, shoulder weakness",Normal
Jock Itch,"itching, redness in groin area",Normal
Swine Flu,"fever, body aches, sore throat, cough",Serious
Genu Varum (Bow Legs),knees apart while ankles touch,Normal
Miliaria (Heat Rash),small itchy bumps from sweat,Normal
Keratosis Pilaris,small rough bumps on arms/thighs,Normal
Scoliosis,"back pain, uneven shoulders, curved spine",Serious
Lung Cancer,"fatigue, chest pain, persistent cough, weight loss",Critical
Erythema Multiforme,target-like skin lesions,Normal
Rotavirus,"vomiting, watery diarrhea, fever",Normal
Lupus,"joint pain, butterfly rash, fatigue, fever",Serious
Cellulitis,"fever, swelling, pain, redness",Serious
Syphilis,"rash, fatigue, painless sores",Serious
Pseudofolliculitis Barbae,razor bumps from ingrown hairs,Normal
Plantar Warts,hard growths on soles,Normal
Malaria,"headache, chills, high fever, sweating",Serious
Telogen Effluvium,temporary hair thinning,Normal
Lung Cancer,"weight loss, persistent cough, chest pain, fatigue",Critical
Type 1 Diabetes,"excessive thirst, weight loss, frequent urination",Serious
Rabies,"anxiety, fever, confusion",Critical
Whiplash,"neck pain, stiffness after injury",Normal
Sebaceous Cyst,slow-growing bump under skin,Normal
Folliculitis,small red bumps at hair follicles,Normal
Thyroid Cancer,"weight loss, fatigue, hoarseness, neck lump",Critical
COVID-19,"cough, fatigue, fever, loss of taste, headache",Serious
Flat Feet,entire sole touches floor,Normal
Genu Varum (Bow Legs),knees apart while ankles touch,Normal
Substance Abuse Disorder,"withdrawal, addiction",Serious
Psittacosis,"headache, dry cough",Serious
Bee Sting,"sharp pain, redness, swelling",Normal
Cholera,"dehydration, weakness, severe diarrhea, vomiting",Serious
Common Cold,sneezing,Normal
Cataracts,"cloudy vision, difficulty seeing at night",Normal
Tendinitis,"pain at tendon site, swelling",Normal
Hepatitis C,"fatigue, jaundice",Serious
Whooping Cough,whooping sound,Serious
Myopathy,"fatigue, pain, muscle weakness",Serious
Norovirus,"diarrhea, stomach cramps, vomiting",Normal
Rat-bite Fever,"fever, rash, joint pain",Serious
Brain Tumor,"nausea, headache, vision problems",Critical
Lyme Disease,"fever, joint pain, fatigue, bullseye rash",Serious
Herpes Simplex Type 1,cold sores around mouth,Normal
Croup,"fever, barking cough",Normal
Sjogren's Syndrome,"dry mouth, dry eyes, fatigue",Serious
Erythema Multiforme,target-like skin lesions,Normal
Cirrhosis,"swelling, fatigue, confusion, jaundice, weight loss",Critical
MERS,shortness of breath,Critical
Graves' Disease,"bulging eyes, hand tremors, weight loss, anxiety",Serious
Tinea Capitis,scalp ringworm,Normal
Carbuncles,cluster of boils,Serious
Muscular Dystrophy,"walking difficulty, frequent falls, muscle weakness",Critical
Anthrax,"breathing issues, fever",Critical
Trigger Finger,finger stuck in bent position,Normal
Plantar Wart,"hard growths on soles, pain while walking",Normal
Hypoglycemia,"hunger, confusion, dizziness, sweating",Serious
Prostate Cancer,"blood in semen, pelvic pain, difficulty urinating",Critical
Epiglottitis,"severe sore throat, difficulty breathing",Critical
Polycystic Kidney Disease,"blood in urine, high blood pressure, back pain",Serious
Folliculitis,small red bumps at hair follicles,Normal
Skin Cancer,"bleeding, lesions, abnormal growth",Critical
Venous Ulcers,open sores on lower legs,Serious
Hypertension,"blurred vision, chest pain, dizziness, headache",Serious
Atherosclerosis,"numbness, chest pain, leg pain",Serious
Clostridium Difficile,"stomach pain, fever",Serious
Pneumonia,"chills, chest pain, fever, fatigue, cough, difficulty breathing",Serious
"Hand, Foot, and Mouth",blisters in mouth and extremities,Normal
Social Anxiety,"trembling, sweating",Normal
Cushing Syndrome,"fatigue, muscle weakness",Serious
Baker's Cyst,"swelling behind the knee, tightness",Normal
Erysipelas,"fever, raised red skin rash",Serious
Cytomegalovirus Infection,"fatigue, fever",Serious
Down Syndrome,"delayed development, distinct facial features",Serious
Melanoma,"dark spots, itching, mole changes, bleeding",Critical
Seborrheic Dermatitis,"scaly patches, red skin, dandruff",Normal
Myopia,difficulty seeing far objects,Normal
Pancreatitis,"nausea, upper abdominal pain, fever, vomiting",Serious
Corns and Calluses,thickened skin areas,Normal
Hidradenitis Suppurativa,painful lumps in armpits/groin,Serious
Pseudofolliculitis Barbae,razor bumps from ingrown hairs,Normal
Whooping Cough,"vomiting, severe coughing, whooping sound",Serious
Telogen Effluvium,temporary hair thinning,Normal
Avascular Necrosis,"joint pain, limited range of motion",Serious
Tendinitis,"swelling, pain at tendon site",Normal
Specific Phobia,intense fear of objects/situations,Normal
Osteoporosis,"bone weakness, fractures",Serious
Trichotillomania,hair pulling disorder,Normal
Campylobacteriosis,"fever, abdominal cramps, diarrhea",Normal
Psittacosis,"headache, fever, dry cough",Serious
Iron Deficiency Anemia,"shortness of breath, tiredness, brittle nails",Normal
SARS,"difficulty breathing, cough",Critical
Scoliosis,"curved spine, uneven shoulders",Serious
Neck Pain,"pain, neck stiffness, headaches",Normal
Concussion,"confusion, dizziness, headache",Serious
Molluscum Contagiosum,small firm bumps with dimples,Normal
Influenza,"chills, fatigue, headache, body ache, high fever",Normal
Croup,"barking cough, hoarseness, fever",Normal
Croup,"hoarseness, fever, barking cough",Normal
Endometriosis,"pelvic pain, painful periods, infertility",Serious
Gas Gangrene,"severe pain, gas in tissue",Critical
Eating Disorder,"weakness, food restriction",Serious
Diphtheria,fever,Critical
Celiac Disease,"bloating, diarrhea, fatigue, weight loss",Serious
Common Wart,"rough skin growths, black dots",Normal
Bad Breath (Halitosis),persistent mouth odor,Normal
Lactose Intolerance,"bloating, diarrhea after dairy",Normal
Avian Flu,"sore throat, fever, muscle aches, cough",Critical
Miliaria (Heat Rash),small itchy bumps from sweat,Normal
Norovirus,"diarrhea, stomach cramps",Normal
